question,label
a来自什么地方？,0
a的籍贯是哪里？,0
a的籍贯是哪里？,0
请问a的籍贯是哪里？,0
a的故乡是哪里？,0
你知道a是哪人吗？,0
a的家乡是哪里？,0
请问a的家乡是哪里？,0
a来自哪里？,0
你知道a是哪人吗？,0
a的老家是哪里？,0
a的故乡是哪里？,0
a的籍贯是哪里？,0
请问a是哪里人？,0
你知道a的家乡吗？,0
a的老家是哪里？,0
a的故乡是哪里？,0
a来自什么地方？,0
请问a来自哪里？,0
你知道a的家乡吗？,0
a的家乡是哪里？,0
a的籍贯是哪里？,0
a来自什么地方？,0
请问a生于哪一年？,1
你知道a生于哪一年吗？,1
a是哪一年出生的？,1
a是哪一年出生的？,1
a生于哪年？,1
a的出生年份是？,1
a的出生年份是什么时候？,1
你知道a是哪年出生的吗？,1
请问a是哪年出生的？,1
a生于哪一年？,1
a的出生年份是？,1
你知道a是哪年出生的吗？,1
a生于哪一年？,1
a出生在什么年份？,1
请问a的出生年份是？,1
a是哪一年出生的？,1
你知道a的出生年份吗？,1
a是在哪一年出生的？,1
a的出生年份是什么时候？,1
请问a的出生年份是哪年？,1
你知道a是在哪一年出生的吗？,1
a是哪年出生的？,1
a的出生年份是？,1
请问a是哪年出生的？,1
a生于哪一年？,1
a是哪一年出生的？,1
你知道a的出生年份吗？,1
a出生在什么年份？,1
请问a生于哪一年？,1
a生于哪年？,1
a的出生年份是哪年？,1
你知道a是哪年出生的吗？,1
请问a出生在什么年份？,1
a是哪年出生的？,1
a生于哪一年？,1
你知道a的出生年份吗？,1
a生于哪年？,1
请问a的出生年份是？,1
a的出生年份是？,1
你知道a是哪一年出生的吗？,1
a的出生年份是哪年？,1
请问a是在哪一年出生的？,1
a出生在什么年份？,1
你知道a是哪一年出生的吗？,1
请问a是哪年出生的？,1
a的出生年份是什么时候？,1
a出生在什么年份？,1
a是哪一年出生的？,1
你知道a生于哪一年吗？,1
请问a的出生年份是哪年？,1
a生于哪一年？,1
你知道a的出生年份吗？,1
请问a是在哪一年出生的？,1
a是哪年出生的？,1
a生于哪一年？,1
你知道a是哪年出生的吗？,1
a的出生年份是什么时候？,1
请问a是哪年出生的？,1
a生于哪年？,1
a是哪一年出生的？,1
你知道a的出生年份吗？,1
请问a是哪一年出生的？,1
a生于哪年？,1
a出生在什么年份？,1
a的出生年份是？,1
你知道a是哪一年出生的吗？,1
请问a生于哪一年？,1
a是哪一年出生的？,1
a的出生年份是什么时候？,1
你知道a的出生年份吗？,1
请问a出生在什么年份？,1
a是哪年出生的？,1
a生于哪一年？,1
你知道a的出生年份吗？,1
a生于哪年？,1
请问a的出生年份是？,1
a的出生年份是？,1
你知道a是哪一年出生的吗？,1
a的出生年份是哪年？,1
请问a是在哪一年出生的？,1
a出生在什么年份？,1
你知道a是哪一年出生的吗？,1
请问a是哪年出生的？,1
a的出生年份是什么时候？,1
a出生在什么年份？,1
a是哪一年出生的？,1
你知道a生于哪一年吗？,1
请问a的出生年份是哪年？,1
a生于哪一年？,1
你知道a的出生年份吗？,1
请问a是在哪一年出生的？,1
a是哪年出生的？,1
a生于哪一年？,1
你知道a是哪年出生的吗？,1
a的出生年份是什么时候？,1
请问a是哪年出生的？,1
a生于哪年？,1
a是哪一年出生的？,1
你知道a的出生年份吗？,1
请问a是哪一年出生的？,1
a生于哪年？,1
a出生在什么年份？,1
a的出生年份是？,1
你知道a是哪一年出生的吗？,1
请问a卒于哪一年？,2
你知道a卒于哪一年吗？,2
a是哪一年去世的？,2
a是哪一年去世的？,2
a卒于哪年？,2
a的去世年份是？,2
a的去世年份是什么时候？,2
你知道a是哪年去世的吗？,2
请问a是哪年去世的？,2
a卒于哪一年？,2
a的去世年份是？,2
你知道a是哪年去世的吗？,2
a卒于哪一年？,2
a去世在什么年份？,2
请问a的去世年份是？,2
a是哪一年去世的？,2
你知道a的去世年份吗？,2
a是在哪一年去世的？,2
a的去世年份是什么时候？,2
请问a的去世年份是哪年？,2
你知道a是在哪一年去世的吗？,2
a是哪年去世的？,2
a的去世年份是？,2
请问a是哪年去世的？,2
a卒于哪一年？,2
a是哪一年去世的？,2
你知道a的去世年份吗？,2
a去世在什么年份？,2
请问a卒于哪一年？,2
a卒于哪年？,2
a的去世年份是哪年？,2
你知道a是哪年去世的吗？,2
请问a去世在什么年份？,2
a是哪年去世的？,2
a卒于哪一年？,2
你知道a的去世年份吗？,2
a卒于哪年？,2
请问a的去世年份是？,2
a的去世年份是？,2
你知道a是哪一年去世的吗？,2
a的去世年份是哪年？,2
请问a是在哪一年去世的？,2
a去世在什么年份？,2
你知道a是哪一年去世的吗？,2
请问a是哪年去世的？,2
a的去世年份是什么时候？,2
a去世在什么年份？,2
a是哪一年去世的？,2
你知道a卒于哪一年吗？,2
请问a的去世年份是哪年？,2
a卒于哪一年？,2
你知道a的去世年份吗？,2
请问a是在哪一年去世的？,2
a是哪年去世的？,2
a卒于哪一年？,2
你知道a是哪年去世的吗？,2
a的去世年份是什么时候？,2
请问a是哪年去世的？,2
a卒于哪年？,2
a是哪一年去世的？,2
你知道a的去世年份吗？,2
请问a是哪一年去世的？,2
a卒于哪年？,2
a去世在什么年份？,2
a的去世年份是？,2
你知道a是哪一年去世的吗？,2
请问a卒于哪一年？,2
a是哪一年去世的？,2
a的去世年份是什么时候？,2
你知道a的去世年份吗？,2
请问a去世在什么年份？,2
a是哪年去世的？,2
a的去世年份是哪年？,2
你知道a是在哪一年去世的吗？,2
a卒于哪一年？,2
请问a的去世年份是？,2
a卒于哪一年？,2
你知道a卒于哪年吗？,2
a去世在什么年份？,2
请问a是哪一年去世的？,2
a的去世年份是？,2
你知道a的去世年份吗？,2
a的去世年份是？,2
请问a年龄多大？,3
你知道a年龄多大吗？,3
a今年几岁了？,3
a多大了？,3
a的年龄是多大？,3
a现在几岁了？,3
a的年龄是多少？,3
你知道a现在多大了吗？,3
请问a现在几岁了？,3
a的年龄多大？,3
a今年几岁？,3
你知道a现在多大了吗？,3
a年龄多大？,3
a现在几岁？,3
a今年多大了？,3
a今年几岁？,3
a今年多大？,3
a的年龄是？,3
a的年龄是多少？,3
a的年龄是多少？,3
请问a的年龄多大？,3
你知道a多大了吗？,3
a今年几岁了？,3
a现在多大？,3
a几岁了？,3
请问a几岁了？,3
a现在几岁了？,3
a的年龄多大？,3
a的年龄是多少？,3
你知道a的年龄吗？,3
a今年几岁？,3
请问a今年几岁？,3
a几岁了？,3
你知道a的年龄是多少吗？,3
a今年多大？,3
a多大了？,3
a的年龄是多少？,3
请问a的年龄是？,3
a的年龄是多少？,3
你知道a现在多大了吗？,3
a几岁了？,3
请问a的年龄是多少？,3
a的年龄多大？,3
你知道a的年龄是多少吗？,3
a今年几岁了？,3
a几岁？,3
a的年龄是？,3
请问a今年多大了？,3
你知道a几岁了吗？,3
a现在几岁？,3
a的年龄是多大？,3
a的年龄是多少？,3
你知道a的年龄多大吗？,3
a今年几岁了？,3
请问a现在多大？,3
a的年龄是多少？,3
a现在多大了？,3
你知道a几岁了吗？,3
a今年几岁？,3
请问a的年龄是多大？,3
a多大了？,3
你知道a的年龄是多少吗？,3
a今年多大？,3
请问a几岁？,3
请问a属于哪个朝代？,4
你知道a属于哪个朝代吗？,4
a是哪个朝代的？,4
a是哪个朝代的？,4
a属于哪个朝代？,4
a是哪一个朝代的？,4
a是哪个朝代的人？,4
你知道a属于什么朝代吗？,4
请问a是哪个朝代的？,4
a属于哪一个朝代？,4
a是哪一个朝代的？,4
你知道a是哪一个朝代的吗？,4
a属于哪个朝代？,4
a是哪个朝代的人？,4
请问a属于哪个朝代？,4
a是哪一个朝代的？,4
你知道a属于哪个朝代吗？,4
a是哪个朝代的人？,4
a是哪个朝代的？,4
请问a是哪一个朝代的？,4
你知道a是哪个朝代的吗？,4
a属于什么朝代？,4
a是哪一个朝代的？,4
请问a是哪一个朝代的？,4
a属于哪个朝代？,4
a是哪个朝代的？,4
你知道a是哪个朝代的吗？,4
a是哪个朝代的人？,4
请问a属于哪个朝代？,4
a是哪个朝代的人？,4
a是哪一个朝代的？,4
你知道a属于哪个朝代吗？,4
请问a属于哪个朝代？,4
a属于哪个朝代？,4
a是哪一个朝代的？,4
你知道a是哪一个朝代的吗？,4
a是哪个朝代的人？,4
请问a是哪个朝代的人？,4
a是哪个朝代的？,4
你知道a属于哪个朝代吗？,4
请问a是哪个朝代的？,4
a属于什么朝代？,4
a是哪一个朝代的？,4
a是哪个朝代的人？,4
你知道a属于哪个朝代吗？,4
请问a是哪个朝代的？,4
a是哪一个朝代的？,4
你知道a是哪一个朝代的吗？,4
a属于哪个朝代？,4
a是哪个朝代的人？,4
请问a属于哪个朝代？,4
a是哪一个朝代的？,4
你知道a属于哪个朝代吗？,4
a是哪个朝代的人？,4
a是哪个朝代的？,4
请问a是哪一个朝代的？,4
你知道a是哪个朝代的吗？,4
a属于什么朝代？,4
a是哪一个朝代的？,4
请问a是哪一个朝代的？,4
a属于哪个朝代？,4
a是哪个朝代的？,4
你知道a是哪个朝代的吗？,4
a是哪个朝代的人？,4
请问a属于哪个朝代？,4
a是哪个朝代的人？,4
a是哪一个朝代的？,4
你知道a属于哪个朝代吗？,4
请问a属于哪个朝代？,4
a属于哪个朝代？,4
a是哪一个朝代的？,4
你知道a是哪一个朝代的吗？,4
a是哪个朝代的人？,4
请问a是哪个朝代的人？,4
a是哪个朝代的？,4
你知道a属于哪个朝代吗？,4
请问a是哪个朝代的？,4
a属于什么朝代？,4
a是哪一个朝代的？,4
a是哪个朝代的人？,4
你知道a属于哪个朝代吗？,4
请问a是哪个朝代的？,4
a是哪一个朝代的？,4
你知道a是哪个朝代的吗？,4
请问a的籍贯是哪里？,0
你知道a的籍贯吗？,0
a是哪的人？,0
a是哪里人？,0
a的家乡在哪里？,0
a来自哪里？,0
a的老家是哪里？,0
你知道a是哪里人吗？,0
请问a的家乡是哪里？,0
a的籍贯是哪里？,0
a来自哪里？,0
你知道a是哪的人吗？,0
a的籍贯是哪里？,0
a的籍贯是哪？,0
a是哪个地方的人？,0
a的家乡是哪里？,0
a的老家是哪里？,0
a的故乡是哪里？,0
a来自哪里？,0
a是哪的人？,0
请问a的家乡是哪里？,0
你知道a的故乡吗？,0
a的籍贯是哪里？,0
a的老家是哪里？,0
a是哪的人？,0
请问a是哪里人？,0
a来自什么地方？,0
a的故乡是哪里？,0
a的家乡是哪？,0
你知道a是哪里人吗？,0
a来自什么地方？,0
a的籍贯是哪里？,0
请问a的籍贯是哪里？,0
你知道a的家乡在哪里吗？,0
a是哪的人？,0
a的故乡是哪里？,0
a的老家在哪？,0
请问a的故乡是哪里？,0
你知道a的老家吗？,0
a是哪的人？,0
a的家乡是哪里？,0
请问a是哪的人？,0
a的故乡在哪里？,0
你知道a是哪里人吗？,0
a的家乡在哪里？,0
a的籍贯是哪里？,0
请问a的籍贯是哪？,0
a是哪地方的人？,0
a来自哪里？,0
a的故乡是哪？,0
你知道a的家乡吗？,0
a的老家是哪里？,0
请问a的老家是哪里？,0
a的籍贯是哪里？,0
你知道a的籍贯吗？,0
a来自什么地方？,0
请问a的故乡是哪里？,0
a的家乡是哪？,0
你知道a的家乡在哪里吗？,0
a的老家在哪里？,0
a是哪地方的人？,0
请问a是哪地方的人？,0
a的故乡在哪里？,0
你知道a来自哪里吗？,0
a的籍贯是哪里？,0
请问a的籍贯是哪里？,0
a的故乡是哪里？,0
你知道a的籍贯吗？,0
a来自哪里？,0
a的老家是哪里？,0
请问a的家乡是哪里？,0
你知道a的籍贯吗？,0
a的家乡是哪里？,0
a的故乡是哪里？,0
请问a的老家是哪里？,0
你知道a的籍贯是哪里吗？,0
a来自什么地方？,0
a的籍贯是哪里？,0
a的籍贯是哪里？,0
请问a的籍贯是哪里？,0
a的故乡是哪里？,0
你知道a是哪人吗？,0
a的家乡是哪里？,0
请问a的家乡是哪里？,0
a来自哪里？,0
你知道a是哪人吗？,0
a的老家是哪里？,0
a的故乡是哪里？,0
a的籍贯是哪里？,0
请问a是哪里人？,0
你知道a的家乡吗？,0
a的老家是哪里？,0
a的故乡是哪里？,0
a来自什么地方？,0
请问a来自哪里？,0
你知道a的家乡吗？,0
a的家乡是哪里？,0
a的籍贯是哪里？,0
a来自什么地方？,0
请问a生于哪一年？,1
你知道a生于哪一年吗？,1
a是哪一年出生的？,1
a是哪一年出生的？,1
a生于哪年？,1
a的出生年份是？,1
a的出生年份是什么时候？,1
你知道a是哪年出生的吗？,1
请问a是哪年出生的？,1
a生于哪一年？,1
a的出生年份是？,1
你知道a是哪年出生的吗？,1
a生于哪一年？,1
a出生在什么年份？,1
请问a的出生年份是？,1
请问a是什么民族？,5
你知道a的民族吗？,5
a是哪族人？,5
a的民族是哪个？,5
a属于哪个民族？,5
a的民族是什么？,5
a的民族是啥？,5
a是什么族人？,5
a是哪个民族的？,5
a是哪族的？,5
a是哪个族的？,5
a是什么族？,5
你知道a是什么族吗？,5
请问a的民族是什么？,5
a的民族属于哪个？,5
a的民族是哪族？,5
a的民族是哪个族？,5
a属于哪个族？,5
a的族群是哪个？,5
a的族群是哪族？,5
a是哪族人？,5
请问a的民族是哪族？,5
a是哪一个族的？,5
a属于哪个族群？,5
你知道a的民族是哪个吗？,5
a的民族是哪一个？,5
a的族群是哪个？,5
请问a的族群是哪族？,5
a的族群是哪一个？,5
你知道a的族群吗？,5
a属于哪个族群？,5
请问a是哪族人？,5
a是哪个民族的人？,5
a是哪个民族的人？,5
a是哪个族群的？,5
a的族群是哪个？,5
a是哪一个民族的？,5
你知道a是哪个民族吗？,5
请问a是哪族的？,5
a是哪个民族的？,5
a的族群是什么？,5
a的族群是哪一个？,5
a的民族是哪一个？,5
请问a的民族是哪一个？,5
a是哪族的？,5
你知道a是什么民族吗？,5
a属于哪个民族？,5
请问a的族群是哪个？,5
a是哪一个民族？,5
a的族群是啥？,5
a的民族是啥？,5
你知道a是哪族吗？,5
请问a的民族是哪一个？,5
a属于哪个民族？,5
请问a的民族是啥？,5
a的族群是啥？,5
a是哪个民族的？,5
请问a的民族是哪族？,5
a是哪一个族群的？,5
a的民族是什么？,5
你知道a的民族是哪一个吗？,5
请问a的族群是啥？,5
a的族群是哪一个？,5
a的民族是哪一个？,5
请问a的族群是哪族？,5
a的族群是哪一个？,5
你知道a的族群是啥吗？,5
a的民族是哪族？,5
请问a的民族是哪个族？,5
a是哪个族的？,5
你知道a的族群是哪一个吗？,5
请问a的族群是哪个族？,5
a的族群是哪个族？,5
a是哪一个族？,5
请问a是哪一个族？,5
a的民族是哪族？,5
a是哪个族群的？,5
你知道a是哪一个民族吗？,5
请问a是哪一个族群？,5
a的族群是啥？,5
a是哪一个族的？,5
请问a的民族是哪族？,5
a的民族是哪族？,5
a是哪族的？,5
你知道a的族群是哪族吗？,5
请问a的族群是哪族？,5
a是哪一个民族的？,5
a是哪个族？,5
你知道a是哪一个民族吗？,5
请问a的族群是哪个族？,5
a的民族是哪一个？,5
a是哪一个族？,5
请问a的民族是哪族？,5
a是哪族的？,5
a的民族是哪一个？,5
请问a是哪族的？,5
a是哪一个族群？,5
你知道a是哪族的？,5
请问a的族群是哪个？,5
a的族群是哪一个？,5
a有哪些作品？,6
a创作过哪些作品？,6
a有哪些著作？,6
a有几部作品？,6
a发表过哪些作品？,6
a写过什么作品？,6
a有哪些出版物？,6
a有哪些文学作品？,6
a有哪些艺术作品？,6
a有哪些书籍？,6
a有哪些文章？,6
a有哪些诗歌？,6
a有哪些小说？,6
a有哪些戏剧？,6
a有哪些散文？,6
a有哪些论文？,6
a有哪些报告？,6
a有哪些评论？,6
a有哪些随笔？,6
a有哪些演讲稿？,6
a有哪些剧本？,6
a有哪些诗集？,6
a有哪些文集？,6
a有哪些故事？,6
a有哪些传记？,6
a有哪些自传？,6
a有哪些回忆录？,6
a有哪些散文集？,6
a有哪些随笔集？,6
a有哪些评论集？,6
a有哪些演讲集？,6
a有哪些报告集？,6
a有哪些戏剧集？,6
a有哪些小说集？,6
a有哪些童话？,6
a有哪些故事集？,6
a有哪些剧本集？,6
a有哪些戏曲？,6
a有哪些台词？,6
a有哪些对白？,6
a有哪些短篇小说？,6
a有哪些长篇小说？,6
a有哪些中篇小说？,6
a有哪些诗歌集？,6
a有哪些诗篇？,6
a有哪些歌词？,6
a有哪些曲谱？,6
a有哪些剧本片段？,6
a有哪些小说片段？,6
a有哪些散文片段？,6
a有哪些诗歌片段？,6
a有哪些戏剧片段？,6
a有哪些论文片段？,6
a有哪些评论片段？,6
a有哪些演讲片段？,6
a有哪些随笔片段？,6
a有哪些回忆录片段？,6
a有哪些传记片段？,6
a有哪些自传片段？,6
a有哪些报告片段？,6
a有哪些书信？,6
a有哪些通信？,6
a有哪些手稿？,6
a有哪些草稿？,6
a有哪些创作？,6
a有哪些作品集？,6
a有哪些小说系列？,6
a有哪些诗歌系列？,6
a有哪些散文系列？,6
a有哪些评论系列？,6
a有哪些演讲系列？,6
a有哪些报告系列？,6
a有哪些剧本系列？,6
a有哪些戏剧系列？,6
a有哪些童话系列？,6
a有哪些故事系列？,6
a有哪些文集系列？,6
a有哪些回忆录系列？,6
a有哪些传记系列？,6
a有哪些自传系列？,6
a有哪些随笔系列？,6
a有哪些小说集系列？,6
a有哪些诗歌集系列？,6
a有哪些散文集系列？,6
a有哪些评论集系列？,6
a有哪些演讲集系列？,6
a有哪些报告集系列？,6
a有哪些剧本集系列？,6
a有哪些戏剧集系列？,6
a有哪些台词系列？,6
a有哪些对白系列？,6
a有哪些歌词系列？,6
a有哪些曲谱系列？,6
a有哪些短篇小说集？,6
a有哪些长篇小说集？,6
a有哪些中篇小说集？,6
a有哪些诗歌片段系列？,6
a有哪些戏剧片段系列？,6
a有哪些论文片段系列？,6
a有哪些书信系列？,6
a的职业是什么？,7
a从事什么职业？,7
a的工作是什么？,7
a是做什么的？,7
a的职务是什么？,7
a的职称是什么？,7
a的工作岗位是什么？,7
a的专业是什么？,7
a的行业是什么？,7
a的职业头衔是什么？,7
a的职位是什么？,7
a在行什么职业？,7
a的工作职责是什么？,7
a的工作内容是什么？,7
a的工作领域是什么？,7
a的职业类别是什么？,7
a的专业领域是什么？,7
a的工作类别是什么？,7
a是做哪一行的？,7
a的职场角色是什么？,7
a的职业角色是什么？,7
a在什么领域工作？,7
a的职业定位是什么？,7
a的工作方向是什么？,7
a在行什么工作？,7
a的职业身份是什么？,7
a的职业分类是什么？,7
a的专业工作是什么？,7
a的职业背景是什么？,7
a的工作性质是什么？,7
a的职业类别是什么？,7
a的职业头衔是什么？,7
a在从事什么职业？,7
a的工作专长是什么？,7
a的专业特长是什么？,7
a的职业称谓是什么？,7
a的职业头衔是什么？,7
a的职场称谓是什么？,7
a的职业特长是什么？,7
a的工作特长是什么？,7
a的专业工作是什么？,7
a的职业身份是什么？,7
a的职业领域是什么？,7
a的工作领域是什么？,7
a的职业方向是什么？,7
a的专业方向是什么？,7
a的职业职责是什么？,7
a的职务职责是什么？,7
a的工作职责是什么？,7
a的职位职责是什么？,7
a的工作角色是什么？,7
a的职业角色是什么？,7
a的职场角色是什么？,7
a的工作身份是什么？,7
a的职业身份是什么？,7
a的职业头衔是什么？,7
a的工作头衔是什么？,7
a的职位头衔是什么？,7
a的职业称号是什么？,7
a的工作称号是什么？,7
a的职位称号是什么？,7
a的职业称谓是什么？,7
a的工作称谓是什么？,7
a的职位称谓是什么？,7
a的职业名称是什么？,7
a的工作名称是什么？,7
a的职位名称是什么？,7
a的职业称呼是什么？,7
a的工作称呼是什么？,7
a的职位称呼是什么？,7
a的职业描述是什么？,7
a的工作描述是什么？,7
a的职位描述是什么？,7
a的职业是什么？,7
a的工作是什么？,7
a的职务是什么？,7
a的职称是什么？,7
a的职位是什么？,7
a的行业是什么？,7
a的领域是什么？,7
a的专业是什么？,7
a的专长是什么？,7
a的职责是什么？,7
a的工作是什么？,7
a的任务是什么？,7
a的职能是什么？,7
a的职位是什么？,7
a的身份是什么？,7
a的角色是什么？,7
a的头衔是什么？,7
a的称号是什么？,7
a的称谓是什么？,7
a的名称是什么？,7
a的描述是什么？,7
a的领域是什么？,7
a的方向是什么？,7
a的专长是什么？,7
a的特长是什么？,7
a的任务是什么？,7
a的职责是什么？,7
a的主要事迹是什么？,8
请问a有哪些重要的事迹？,8
a在历史上有哪些著名的事迹？,8
a有哪些被广为流传的事迹？,8
你知道a有哪些主要事迹吗？,8
a的生平事迹有哪些？,8
请介绍一下a的事迹。,8
a做过哪些重要的事情？,8
a有哪些事迹被记载？,8
a有哪些值得一提的事迹？,8
a的事迹有哪些？,8
a有哪些事迹流传至今？,8
a有哪些为人称道的事迹？,8
a的主要历史贡献有哪些？,8
a有哪些历史事迹？,8
a有哪些伟大的事迹？,8
a在世时有哪些主要事迹？,8
a有哪些贡献被后人记住？,8
a做了哪些重大事情？,8
a有哪些重要贡献？,8
a在历史上有哪些重要贡献？,8
a的事迹在历史上有什么地位？,8
a有哪些事迹被后人传颂？,8
a有哪些重要的历史事迹？,8
a有哪些杰出的事迹？,8
a的主要事迹是什么？,8
请列举a的主要事迹。,8
a的生平主要事迹有哪些？,8
a有哪些赫赫有名的事迹？,8
a做过哪些著名的事迹？,8
a有哪些功绩？,8
a在历史上的事迹有哪些？,8
a有哪些功绩被流传下来？,8
a有哪些伟大的历史事迹？,8
a的主要成就是什么？,8
a有哪些成就？,8
a在世时做了哪些事？,8
a有哪些历史上的事迹？,8
a的主要贡献有哪些？,8
a有哪些历史贡献？,8
a有哪些历史上的事迹？,8
a有哪些杰出的贡献？,8
a的事迹有哪些？,8
a做了哪些著名的事？,8
a的成就有哪些？,8
a有哪些事迹被后人称颂？,8
a有哪些历史上的贡献？,8
a的主要事迹有哪些？,8
a有哪些贡献？,8
a的事迹主要有哪些？,8
a在历史上有哪些事迹？,8
a有哪些为人称道的贡献？,8
a有哪些著名的历史事迹？,8
a的主要事迹是哪些？,8
a有哪些流传下来的事迹？,8
a有哪些历史成就？,8
a的贡献有哪些？,8
a有哪些被传颂的事迹？,8
a有哪些成就被记载？,8
a有哪些被记载的事迹？,8
a的主要历史事迹有哪些？,8
a的成就主要有哪些？,8
a有哪些事迹被记录？,8
a的主要事迹有哪些？,8
a有哪些被传颂的贡献？,8
a有哪些事迹流传下来？,8
a有哪些历史上的成就？,8
a的贡献主要有哪些？,8
a有哪些被后人传颂的事迹？,8
a有哪些历史事迹被记载？,8
a的历史事迹有哪些？,8
a有哪些被记载的历史事迹？,8
a有哪些事迹被广为流传？,8
a有哪些为人称道的事迹？,8
a的成就被后人记住的有哪些？,8
a有哪些重要的事迹被记载？,8
a的事迹被后人记住的有哪些？,8
a有哪些为人称颂的事迹？,8
a的贡献被后人记住的有哪些？,8
a有哪些成就流传至今？,8
a的历史贡献有哪些？,8
a有哪些事迹被记载下来？,8
a有哪些历史功绩？,8
a的功绩有哪些？,8
a的主要历史成就有哪些？,8
a有哪些成就被后人称颂？,8
a有哪些历史贡献被记载？,8
a的历史功绩有哪些？,8
a的主要事迹有哪些？,8
a有哪些成就被传颂？,8
a的成就主要是什么？,8
a有哪些历史成就被记载？,8
a有哪些被后人记住的事迹？,8
a的成就有哪些？,8
a有哪些主要成就？,8
a有哪些为人称道的事迹？,8
a的别名是什么？,9
a有哪些别名？,9
a有其他名字吗？,9
a的别称是什么？,9
a还有什么名字？,9
a被称为什么？,9
a的昵称是什么？,9
a的别号是什么？,9
a有哪些称号？,9
a还有什么称呼？,9
a的另一个名字是什么？,9
a还有哪些别名？,9
a的其他名字是什么？,9
a被人们叫做什么？,9
a的雅号是什么？,9
a还有什么雅号？,9
a有哪些雅称？,9
a有别的名字吗？,9
a有其他称号吗？,9
a的外号是什么？,9
a的别称有哪些？,9
a被称作什么？,9
a还有其他称呼吗？,9
a被叫做什么？,9
a的别名都有哪些？,9
a的绰号是什么？,9
a还有其他名字吗？,9
a的外号有哪些？,9
a的别号有哪些？,9
a的称号有哪些？,9
a的别称是哪些？,9
a的别名有哪些？,9
a有其他外号吗？,9
a被称之为什么？,9
a的其他别名是什么？,9
a的昵称有哪些？,9
a的别号是哪些？,9
a的外号是哪些？,9
a还有什么别称？,9
a的雅号有哪些？,9
a的绰号有哪些？,9
a被叫做什么？,9
a的别称是什么？,9
a的昵称是什么？,9
a的别号是什么？,9
a有哪些称号？,9
a还有什么称呼？,9
a的另一个名字是什么？,9
a还有哪些别名？,9
a的其他名字是什么？,9
a被人们叫做什么？,9
a的雅号是什么？,9
a还有什么雅号？,9
a有哪些雅称？,9
a有别的名字吗？,9
a有其他称号吗？,9
a的外号是什么？,9
a的别称有哪些？,9
a被称作什么？,9
a还有其他称呼吗？,9
a被叫做什么？,9
a的别名都有哪些？,9
a的绰号是什么？,9
a还有其他名字吗？,9
a的外号有哪些？,9
a的别号有哪些？,9
a的称号有哪些？,9
a的别称是哪些？,9
a的别名有哪些？,9
a有其他外号吗？,9
a被称之为什么？,9
a的其他别名是什么？,9
a的昵称有哪些？,9
a的别号是哪些？,9
a的外号是哪些？,9
a还有什么别称？,9
a的雅号有哪些？,9
a的绰号有哪些？,9
a被叫做什么？,9
a的别称是什么？,9
a的昵称是什么？,9
a的别号是什么？,9
a有哪些称号？,9
a还有什么称呼？,9
a的另一个名字是什么？,9
a还有哪些别名？,9
a的其他名字是什么？,9
a被人们叫做什么？,9
a的雅号是什么？,9
a还有什么雅号？,9
a有哪些雅称？,9
a有别的名字吗？,9
a有其他称号吗？,9
a的外号是什么？,9
a的别称有哪些？,9
a被称作什么？,9
a还有其他称呼吗？,9
a被叫做什么？,9
a的别名都有哪些？,9
a的绰号是什么？,9
a的封号是什么？,10
a有哪些封号？,10
a被授予了什么封号？,10
a的封爵是什么？,10
a被封为什么？,10
a的爵位是什么？,10
a被册封为什么？,10
a有哪些封爵？,10
a的头衔是什么？,10
